text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
please she hates them she told me if she,477.0,4.36,479.18,-0.1531,0.0,-0.7,0.14199229059172355,0.02265584697923128,0.1906984434436627
ever finds them in here again in that,480.08,4.399,482.2795,0.0,0.0,-0.5,0.13677112256055865,0.01911451338506365,0.18547715933687975
case we better get them out of,481.36,3.119,482.9195,0.4404,0.5,0.8,0.1356796551291319,0.018374956782964566,0.1843982050758103
here my poor kitties I won't let her,489.68,5.72,492.54,-0.4767,-0.4,-0.7,0.11877792520029909,0.006954246489595399,0.168157434345429
you she um she wouldn't really hurt them,499.28,7.359,502.9595,0.4575,0.2,0.3,0.09961219485422426,-0.005927423127863913,0.15056297430590762
would she you don't know Miss Tina the,503.28,4.68,505.62,0.1139,0.0,0.2,0.09460915328003149,-0.00927824611096665,0.14607720360218052
says you mustn't tell her they were in,507.96,7.519,511.7195,0.0,0.0,0.4,0.08301551248965917,-0.017024194971582682,0.13581329995756516
here I won't I promise you I won't don't,510.759,7.84,514.679,-0.2411,0.0,0.4,0.07734177392763672,-0.02080511962713452,0.1308463868949861
be so frightened you don't know her you,515.479,5.36,518.159,-0.4927,0.0,-0.7,0.07064178664766124,-0.02526141586016353,0.12501962813545184
don't know this house so far as I can,518.599,4.56,520.879,0.0,0.1,-0.7,0.06539031902425307,-0.028747680058636895,0.12047717761919773
see this is the loveliest house in all,520.839,6.641,524.1595000000001,0.0,0.0,0.7,0.05904759884307823,-0.03295044487723038,0.11501424424919568
Venice not only that you and I shall be,523.159,6.641,526.4795,0.0,0.0,0.8,0.05456062409100532,-0.03591817195468775,0.11116211732760256
friends oh yes,527.48,5.2,530.08,0.7003,0.0,0.8,0.047603366408507,-0.04051060968687789,0.10520428737654511
Amelia what are you talking about making,532.68,5.0,535.18,0.0,0.0,0.2,0.03778274023539279,-0.046973271055256456,0.0968124394642062
more trouble I told you never to speak,535.519,5.921,538.4795,-0.4576,0.15,-0.7,0.03146483885563657,-0.051117878500153244,0.09141594021021235
with strangers m,537.68,3.76,539.56,0.0,0.0,-0.7,0.029403916118124176,-0.05246754958901896,0.08965474200804961
I'm just waiting for Miss,543.04,3.0,544.54,-0.1531,0.0,0.3,0.019968534462860444,-0.058631316546669754,0.08157848622226527
bordo had Jeffrey Ashton once lived in,554.44,7.0,557.94,0.0,0.0,0.2,-0.004695980177219547,-0.07460853775963248,0.06022833106807956
this cold forbidding house I felt the,557.76,6.72,561.12,-0.4404,-0.6,-0.7,-0.010345200005280341,-0.07823578655709718,0.05525415604309542
past Clos in around me like a fog,561.44,5.8,564.34,0.3612,-0.25,0.4,-0.015968139088728735,-0.08183214215473013,0.05025748621190325
filling me with a nameless,564.48,5.4,567.1800000000001,0.0,-0.5,-0.7,-0.020839348964978778,-0.08493539513095026,0.04588547875384338
fear I had a sudden impulse to turn and,567.24,6.56,570.52,-0.4939,0.0,-0.7,-0.026454070107520468,-0.08849677721518116,0.04078758334578249
leave then I remember the,569.88,3.92,571.84,-0.0516,0.0,0.3,-0.02863718041451564,-0.08987667162952878,0.03878633134381359
letters the door to the present shut,574.0,6.2,577.1,0.0,0.0,-0.7,-0.037132339606840765,-0.09521875204071378,0.030888565452321323
Mr Burton my aunt will see,604.04,6.64,607.36,0.0,0.0,0.3,-0.07985405554166862,-0.12126858809802912,-0.012119603945736246
you my hand is very very very old try,627.279,6.521,630.5395,0.4939,0.13,0.3,-0.1058444822862487,-0.13615832385956922,-0.04219856433349241
not to stay too,631.079,2.721,632.4395,0.0,0.0,-0.5,-0.10772858798716672,-0.13719600922295724,-0.04455134897380008
long Mr Burton is here,636.72,4.96,639.2,0.0,-0.05,0.4,-0.11413893218593169,-0.14067213462021616,-0.052782604763740595
this was the Divine Juliana of Ashton's,661.16,7.88,665.1,0.5574,0.0,0.8,-0.13459724082629246,-0.15100022625645365,-0.08226194500107137
poem an ancient hooded,665.519,5.201,668.1195,0.0,0.0,0.5,-0.13657416724875807,-0.151909935725007,-0.08548360314683985
old old beyond my wildest,670.72,8.239,674.8395,0.0,0.1,0.7,-0.1406792620888431,-0.15372452417631086,-0.09249004396055949
expectations I sit,675.12,3.839,677.0395,0.0,0.0,0.2,-0.1419359894340586,-0.15425668851203914,-0.09473458214723436
down Tina doesn't like,682.76,4.879,685.1995,-0.2755,-0.1555555555555555,-0.7,-0.14622864540404618,-0.1559704714254295,-0.1028462945937935
strangers Str danger sometimes,687.839,8.12,691.899,-0.5267,0.0,-0.7,-0.1493270863566301,-0.15707900964024676,-0.10925313239789616
PR I assure you I'd hear,692.12,7.48,695.86,0.34,0.0,0.7,-0.15098220026769565,-0.15761142630572236,-0.11293302017636651
you I never,695.959,9.721,700.8195,0.0,0.0,-0.5,-0.1528726492682748,-0.15815234400419217,-0.1174266488580803
sleep I hear every sound in this,699.6,6.08,702.64,0.0,0.4,-0.7,-0.15351647882910452,-0.15831643207012355,-0.11904423745828202
house Tina thinks I should send you away,706.12,8.08,710.16,0.0,0.0,-0.7,-0.15589570756436444,-0.15880266525241274,-0.125543558509101
and Juliana I warned you be quiet don't,710.48,6.479,713.7195,-0.2732,0.0,-0.7,-0.1568669963163449,-0.15892757715001452,-0.12851697706146675
want anyone in this house it's not,714.2,6.96,717.6800000000001,0.0772,0.0,0.4,-0.15783290536826539,-0.15898912614471275,-0.13174719126593762
wanting it's needing,716.959,6.921,720.4195,0.0,0.0,-0.7,-0.15843119269946726,-0.158984836752178,-0.13393318900031115
and you're quite unpleasant to this,721.16,4.28,723.3,-0.5256,-0.6499999999999999,-0.7,-0.15899942991902138,-0.1589397013252737,-0.13618889844902515
man you think that's,725.44,5.839,728.3595,0.0,0.0,0.3,-0.15984861166292752,-0.15876156454647364,-0.14004435563406514
right when he leaves he should remember,728.079,4.281,730.2194999999999,0.0,0.2857142857142857,0.3,-0.16011369716073984,-0.1586649802987745,-0.1414274405028756
pleasantly be nice Tina be,732.36,6.039,735.3795,0.7096,0.6,0.7,-0.16071866728092166,-0.15831151055322082,-0.14516749177398863
Burton if you want to live here it will,738.399,7.281,742.0395,0.0772,0.1363636363636363,0.2,-0.16122126901583025,-0.1576743294398135,-0.1497831680861992
cost you a great deal of money I thought,742.519,5.041,745.0395,0.6249,0.8,0.4,-0.16134732064052343,-0.1573226518065131,-0.15178399502494372
the arrangements had been made things,745.68,4.519,747.9395,0.0,0.0,-0.7,-0.16141096718658676,-0.15694550127962015,-0.15367169006246262
have changed,747.56,4.92,750.02,0.0,0.0,0.2,-0.1614217804727169,-0.15665277945183112,-0.15499774670040106
200 Franks a month for a furnish nothing,750.199,2.681,751.5395,0.0,0.0,-0.7,-0.16141145377010113,-0.15642745853935838,-0.15595131449636257
furnished and if you want to live,755.199,6.121,758.2595,0.0772,0.1363636363636363,0.7,-0.16118408699776093,-0.15531686763033453,-0.1600168893477003
"do I want 1,000 Franks a",761.32,11.319,766.9795,0.0772,0.0,0.8,-0.16045830077337966,-0.15360868869389815,-0.16492168201323062
month I'll pay it I want it in gold,767.399,12.081,773.4395,-0.0258,0.0,0.8,-0.15961728888253834,-0.15215850682974474,-0.1682831765009719
today three months in advance today,772.639,6.841,776.0595,0.0,0.0,0.4,-0.1592046626552558,-0.15152747106425607,-0.16958009256099313
well bye Miss,788.72,8.909,793.1745000000001,0.128,0.0,0.2,-0.15553643084936872,-0.14683677107261708,-0.17710073251636713
B your rooms are across the Galleria,798.399,7.361,802.0795,0.0,0.0,0.4,-0.1529926652369741,-0.14403644527661263,-0.18035476396605754
I'll show them to you now,801.88,3.88,803.82,0.0,0.0,0.7,-0.15244718239116717,-0.14346269468558784,-0.18093758469646573
there are three rooms here that connect,825.16,4.0,827.16,0.0,0.0,0.4,-0.14370277028990847,-0.13502469037081338,-0.1870538690668802
other you have your own entrance from,831.12,4.44,833.34,0.0,0.2375,0.4,-0.14096953683335556,-0.1325845809770511,-0.1881383199731437
garden your May will be brought to,837.56,4.44,839.78,0.0,0.0,0.4,-0.1379493150853333,-0.1299634181798985,-0.1890272571192699
you you're determined to seal me off,843.0,3.8,844.9,0.34,0.0,-0.7,-0.13542797496988307,-0.12782720766356703,-0.18955737897603764
from the rest of the,845.32,4.36,847.5,0.0,0.0,0.2,-0.13410823127518715,-0.12672597104800842,-0.18976641689927518
house why the arrangements were made for,846.8,6.959,850.2795,0.0,0.0,0.2,-0.132668802979295,-0.12553717409989185,-0.18994491811432312
these rooms Mr Burton since you um feel,849.68,6.88,853.12,0.0,0.0,-0.7,-0.13116791635609568,-0.12431057292092297,-0.19007920188660915
so strongly about me perhaps it' be,853.759,4.401,855.9595,0.3384,0.4333333333333333,0.4,-0.1296380429592832,-0.12307319025726486,-0.19016467660796202
better if my ad insists we have very,856.56,4.399,858.7594999999999,0.4404,0.35,0.4,-0.12810120330018726,-0.12184265268003948,-0.19020109400084584
little choice in the matter we need the,858.16,4.88,860.6,0.0258,-0.1875,-0.7,-0.12707603632716943,-0.12102847734391409,-0.1901990799452264
money and you're willing to pay an,860.959,4.361,863.1395,-0.1027,0.25,0.7,-0.12564241509798696,-0.11989852799256885,-0.19016242671173983
extravagant price for,863.04,7.08,866.5799999999999,0.0,0.0,0.4,-0.12366558892852594,-0.11835627880141328,-0.19004995858903173
this why Mr Burton,865.32,4.8,867.72,0.0,0.0,-0.7,-0.12300198079413475,-0.11784253494550286,-0.1899967157019804
I'll get the keys,880.24,2.8,881.64,0.0,0.0,0.4,-0.11457281857218085,-0.11147777758313752,-0.1887014791942336
Pedro fantastic to leave the most,884.079,5.671,886.9145,0.5267,0.45,0.8,-0.11123134188441261,-0.1090311861905897,-0.1878971798864349
beautiful hotel in Venice for,887.279,7.281,890.9195,0.5994,0.848382973247205,0.6,-0.1086441314265146,-0.107164579684521,-0.1871705551495449
this goodbye father goodbye t,894.56,5.16,897.14,0.0,0.0,-0.7,-0.10454495188975722,-0.1042547001566517,-0.1858426520251307
good afternoon good afternoon Mr Burton,901.0,4.0,903.0,0.7003,0.7,0.6,-0.10059896347512083,-0.101506744593242,-0.18436878630084255
I'd hoped to be here earlier but by the,903.36,2.76,904.74,0.2023,0.0,-0.7,-0.09941241277060207,-0.10069037778718054,-0.18388933788154102
time I've been to the bank and bought,905.0,4.48,907.24,0.0,0.0,0.4,-0.09769619396700793,-0.09951758762691357,-0.1831668545981627
some things I'm not coming at a bad time,906.12,5.639,908.9395,-0.5423,-0.6999999999999998,0.4,-0.09652203506704887,-0.09872061956743951,-0.18265303305780856
it doesn't matter in that event if Petro,909.48,5.08,912.02,-0.0191,0.0,0.2,-0.09437886492505604,-0.09727713838170524,-0.1816747952152148
could have the keys Amelia will you show,911.759,5.801,914.6595,0.0,0.0,0.2,-0.09252777404486821,-0.09604193908511395,-0.1807884163849171
this man where Mr Burton's rooms,914.56,6.44,917.78,0.0,0.0,0.3,-0.0903225854052645,-0.09458431867742995,-0.17968299675291444
are come in,917.56,3.44,919.28,0.0,0.0,0.4,-0.08925634302841065,-0.09388490014854475,-0.17912943181021804
please I thought if you didn't mind p BR,926.6,5.4,929.3,0.3182,0.0,0.2,-0.08203728063469926,-0.08923650691754877,-0.17507191842459333
could take care of the garden he'll uh,929.16,5.08,931.7,0.4939,0.0,0.3,-0.0802849319141755,-0.08812976856383585,-0.17401010994972715
he'll have plenty of time I wrote out an,932.0,4.319,934.1595,0.0,0.0,0.4,-0.07848055465537726,-0.08699848271513883,-0.1728871701772977
agreement we can both sign it if it's,934.24,4.56,936.52,0.4939,0.0,0.7,-0.07674097231617799,-0.08591558857945072,-0.171776877941651
satisfactory to you we you you mean your,936.319,5.96,939.299,0.3612,-0.3125,0.4,-0.0746835844430202,-0.08464442592766891,-0.17042964213546988
aunt I mean I'll sign it for,938.8,3.479,940.5395,0.0,-0.3125,0.2,-0.07376205282124362,-0.08407833891929489,-0.16981448536626667
her thank you,957.0,3.92,958.96,0.3612,0.0,0.8,-0.05988275920520109,-0.07577988520097624,-0.1597370313013119
was that Parish priest I saw leaving the,985.279,5.441,987.9995,0.0,0.0,-0.7,-0.03753502830930718,-0.06319136151817345,-0.14073739086438322
house yes father raldo your aunt isn't,987.399,5.761,990.2795,0.4019,0.0,0.2,-0.03577079601290027,-0.06223305372202929,-0.13910952412788996
you needn't worry it's nothing serious,990.72,6.76,994.1,0.3875,-0.3333333333333333,0.3,-0.03281476696979147,-0.06063810329328942,-0.13634314199367434
I'm glad she seems so old so,993.16,8.039,997.1795,0.4588,0.3,-0.7,-0.030433072873528248,-0.0593626331002836,-0.13407946848649957
frail she couldn't really be your,997.48,7.12,1001.04,0.0,0.2,0.4,-0.027449798763205868,-0.05777682861712839,-0.13120106998493591
a there must be Generations between,1001.199,5.08,1003.739,0.0,0.0,0.4,-0.025366413825089897,-0.05667704039662253,-0.12916304933652334
here's your copy of the agreement Mr,1004.6,4.24,1006.72,0.4939,0.0,0.2,-0.023068230728785593,-0.05547105734635447,-0.12688871210291786
Amia come here,1035.439,3.36,1037.119,0.0,0.0,0.7,4.472472286154775e-05,-0.04374136337834665,-0.10255414724016482
Amia you want to talk to me about,1043.919,5.76,1046.7990000000002,0.0772,0.0,0.4,0.0072125357687367825,-0.040244655951961084,-0.09448696460382174
something I'm pleased you wanted to see,1047.6,4.6,1049.9,0.4404,0.5,0.7,0.009482102194468172,-0.039150994000609216,-0.09188223254876725
in you can sit there a minute it's very,1056.44,4.359,1058.6195,0.0,0.2,0.3,0.01578534223163946,-0.03614753860730113,-0.08452079369691223
comfortable you can visit me whenever,1065.0,6.799,1068.3995,0.5106,0.4,0.7,0.02270152616437168,-0.032909653400160443,-0.07622610988597985
you like or did someone send you oh,1067.08,8.52,1071.34,0.3612,0.0,0.4,0.024745912582326106,-0.03196420185867772,-0.0737300302731998
no I just wanted to,1071.799,3.801,1073.6995,-0.296,0.0,-0.7,0.026373860304377692,-0.031215178808391156,-0.07172775203754843
see going you be a the pretty room now,1077.36,4.84,1079.78,0.4939,0.25,0.7,0.030515442460847045,-0.02932514397991542,-0.06657447072498042
I'm glad you like,1080.36,4.28,1082.5,0.6705,0.5,0.7,0.03234196475074074,-0.028498768363353997,-0.06427423702423986
it my mother would beat me if she knew I,1082.2,3.92,1084.16,0.0,0.0,-0.7,0.03344842887680843,-0.028000332604954305,-0.06287247267173032
here they don't like,1086.12,7.679,1089.9595,-0.2755,0.0,-0.7,0.0372631485340531,-0.026294599380930685,-0.05799050747589056
you who doesn't like me my mother and,1088.96,5.64,1091.78,-0.2755,0.0,-0.7,0.038443761128756214,-0.025770749282092026,-0.056463858918836166
Tina I heard them,1094.6,3.6,1096.4,0.0,0.0,0.4,0.04140223503608853,-0.024466661310354635,-0.05260467110633217
talking but I like,1099.0,5.76,1101.88,0.5023,0.0,0.7,0.044838691409239025,-0.02296775154033425,-0.04805983988248976
you what did they say,1101.36,5.92,1104.32,0.0,0.0,0.2,0.046342403842239345,-0.022317411425191416,-0.0460493734568625
here my mother,1104.76,7.76,1108.64,0.0,0.0,0.8,0.04896336869189157,-0.02119250741256894,-0.04251225346043679
said you'd bring bad luck and Miss,1107.28,5.24,1109.9,-0.2732,-0.6999999999999998,-0.7,0.04971763106098141,-0.02087093205795262,-0.04148638419209527
Tina she's,1113.4,5.88,1116.34,0.0,0.0,0.2,0.05349846266480757,-0.019274773689330664,-0.03628811397210962
wicked she gave my cat to,1116.28,8.519,1120.5395,-0.5267,0.0,-0.7,0.055894810097556515,-0.018277973239289255,-0.03294270750442817
